ade_drug_pair
"['acute on chronic rf', 'lasix']"
"['may be causing increased eos', 'bactrim']"
"['guiac stools', 'u']"
"['toxicity', 'bleomycin']"
"['tachpyneic', 'oxygen']"
"['neurotoxicity', 'interleukin-ii']"
"['tachypnea', 'interleukin-ii']"
"['stridor', 'interleukin-ii']"
"['respiratory distress', 'interleukin-ii']"
"['mild chills', 'il-2']"
"['erythematous skin rash', 'il-2']"
"['nausea', 'il-2']"
"['diarrhea', 'il-2']"
"['fatigue', 'il-2']"
"['respiratory failure', 'il-2']"
"['acute renal failure', 'il-2']"
"[""systolic blood pressure in 60's"", 'nimodpine']"
"['atn', 'nsaid']"
"['angioedema', 'acei']"
"['angioedema', 'ace']"
"['hypertension', 'steroid']"
"['angioedema', 'ace inhibitor']"
"['lip swelling', 'ace inhibitors']"
"['pre-renal, ain', 'bactrim']"
"['sedation', 'lorazepam']"
"['sedation', 'morphine']"
"['upper gi bleed', 'nsaid']"
"['ugib', 'ibuprofen']"
"['pulmonary fibrosis', 'amiodarone']"
"['drug fever', 'phenytoin']"
"['delirium', 'benzodiazepine']"
"['bradycardia', 'propofol']"
"['bradycardia', 'succinylcholine']"
"['tachycardic', 'glycopyrrolate']"
"['hypotension', 'anesthesia']"
"['hypotensive', 'sedatives']"
"['bradycardic', 'sedatives']"
"['st depression', 'anesthesia']"
"['cardiac event during induction', 'anesthesia']"
"['hypotensive as low as systolic 60s', 'medications for induction.']"
"['bradycardia', 'anesthesia']"
"['hypotension', 'anesthesia']"
"['complications', 'anesthesia']"
"['pulmonary edema and effusions', 'fluid']"
"['respiratory arrest', 'narcotic']"
"['sedation', 'oxycodone']"
"['constipation', 'narcotic pain medicine']"
"['hyponatremia', 'hctz']"
"['hypercarbia', 'ativan']"
"['right facial droop', 'sedating medications']"
"['hypercarbic', 'ativan']"
"['elevated glucose', 'steroids']"
"['atra syndrome', 'atra']"
"['acute elevation in his wbc to >50 k', 'atra']"
"['elevated bilirubin', 'idarubicin']"
"['tumor lysis syndrome', 'atra']"
"['pulmonary leak', 'atra']"
"['hypotension', 'lasix']"
"['hypotension', 'diuresis']"
"['difficulty breathing', 'paralytic']"
"['decreased oxygen levels', 'paralytic']"
"['apnea', 'paralytics']"
"['apneic', 'paralytics']"
"['atn', 'motrin']"
"['excessively somnolent', 'ativan']"
"['arf', 'nsaid']"
"['hypotensive', 'nitroglycerin']"
"['somnolent', 'gabapentin']"
"['somnolent', 'gabapentin']"
"['somnolence', 'narcotics']"
"['somnolence', 'neurontin']"
"['elevated lfts', 'tylenol']"
"['coagulopathy', 'tylenol']"
"['thrombocytopenia', 'heparin']"
"['lfts were significantly elevated', 'tylenol']"
"['magnesium wasting', 'cyclosporine']"
"['neutropenia', 'atg']"
"['neutropenia', 'gancyclovir']"
"['liver injury', 'bactrim']"
"['e bm suppression', 'bactrim']"
"['liver damage', 'bactrim']"
"['neutropenia', 'gancyclovir']"
"['neutropenia', 'atg']"
"['hyperglycemia', 'steroids']"
"['liver problems', 'bactrim']"
"['pathology present was predominantly cholestatic', 'drug']"
"['liver failure', 'drug']"
"['rash', 'metronidazole']"
"['diffuse rash', 'flagyl']"
"['rash', 'flagyl']"
"['leukocytosis', 'antibiotics']"
"['light headedness', 'carvedilol']"
"['atn', 'lisinopril']"
"['atn', 'voriconazole']"
"['atn', 'bactrim']"
"['gastritis', 'prednisone']"
"['elevated potassium levels', 'lisinopril']"
"['cardiomyopathy', 'chemo']"
"['rash', 'penicillin']"
"['upper gastrointestinal bleed', 'nsaid']"
"['ongestive heart failure', 'packed red blood cells']"
"['dehydration', 'diruetic']"
"['intravascular hypovolemia', 'diruetic']"
"['blood pressure fell', 'azithromycin']"
"['allergic reaction', 'azithromycin']"
"['hypoglycemia', 'insulin']"
"['hypoglycemia', 'insulin']"
"['hypotensive', 'azithromycin']"
"['allergic reaction', 'azithromycin']"
"['respiratory failure', 'narcotics']"
"['agitation', 'naroctic']"
"['overdose', 'narcotic analgesics']"
"['nausea', 'labetalol']"
"['altered mental status', 'haldol']"
"['lethargic', 'haldol']"
"['angioedema', 'lisinopril']"
"['hypersensitivty', 'polysporin']"
"['delerium', 'narcotics']"
"['gi bleed', 'coumadin']"
"['thrombocytopenia', 'ppi']"
"['thrombocytopenia', 'ppi']"
"['thrombocytopenia', 'ppi']"
"['steroid psychosis', 'steroids']"
"['leukocytosis', 'steroids']"
"['hypertension', 'steroids']"
"['hypertension', 'cyclosporine']"
"['anxiety', 'steroids']"
"['psychosis', 'steroid']"
"['hypotension', 'diuretic']"
"['hypovolemia', 'diuretic']"
"['gib', 'aspirin']"
"['hypotension', 'imdur']"
"['hypotension', 'nitros']"
"['altered mental status', 'versed']"
"['altered mental status', 'fentanyl']"
"['bp was 70/palp', 'hydralazine']"
"['hypotensive episode', 'antihypertensive agents']"
"['hypotension', 'anti-hypertensives']"
"['hypotension', 'metoprolol']"
"['hypotension', 'nitroglycerin']"
"['hypotension', 'hydralazine']"
"['hypotensive episode', 'anti-hypertensives']"
"['hypotensive episode', 'metoprolol']"
"['hypotensive episode', 'hctz']"
"['b/p dropped to 96/48', 'lopressor']"
"['facial swelling', 'asa']"
"['/itching', 'asa']"
"['neutropenic fever', 'olanzapine']"
"['post-trach bleeding complications', 'enoxaparin']"
"['trach bleeding', 'anticoagulation']"
"['hyponatremia', 'hctz']"
"['bleeding', 'blood thinner']"
"['hyponatremic', 'd51/2 ns']"
"['acute renal failure', ""nsaid's""]"
"['flash pulmonary edema', 'blood products']"
"['hypercarbic', 'narcotics']"
"['renal failure', 'contrast']"
"['myopathy of the spine', 'steroid']"
"['dependence', 'opioid']"
"['worsened his renal failure', 'ciprofloxacin']"
"['recurrent bleeding', 'asa']"
"['recurrent bleeding', 'plavix']"
"['recurrent bleeding', 'coumadin']"
"['ugib', 'plavix']"
"['bleeding', 'asa']"
"['recurrent gi bleeds', 'plavix']"
"['bradycardia', 'beta blocker']"
"['bradycardia', 'sedation']"
"['bradycardia', 'beta blocker']"
"['bradycardia', 'beta blocker']"
"['leaking of a vessel', 'blood thinners']"
"['gastrointestinal bleed', 'aspirin']"
"['pruritis', 'morphine']"
"['intolerance', 'acei']"
"['rash', 'lamictal']"
"['rash', 'lamictal']"
"['allergy', 'lamictal']"
"['rash', 'lamictal']"
"['arf', 'vancomycin']"
"['toxicity', 'vancomycin']"
"['sedation', 'clonazepam']"
"['rr <12', 'clonazepam']"
"['toxicity', 'vancomycin']"
"['kidney failure', 'vancomycin']"
"['toxicity', 'vancomycin']"
"['allergy', 'lamictal']"
"['rash', 'lamotrigine']"
"['toxicity', 'lamotrigine']"
"['toxicity', 'vancomycin']"
"['constipating', 'narcotic pain meds']"
"['delirium', 'sedatives']"
"['facial eccymoses', 'heparin']"
"['erythema', 'heparin']"
"['peri-orbital cellulitis', 'heparin']"
"['hives', 'pcn']"
"['diarrhea', 'abx']"
"['sleepy', 'codeine-guaifenesin']"
"['hypotension', 'imdur']"
"['hypotension', 'anaesthesia']"
"['hyperglycemia', 'steroids']"
"['atn', 'amphotericin']"
"['atn', 'vancomycin']"
"['atn', 'amphotericin']"
"['thrombocytopenia', 'amphotericin']"
"['thrombocytopenia', 'vancomycin']"
"['thrombocytopenia', 'vancomycin']"
"['suppression of all three lines in the bone marrow', 'vancomycin']"
"['bone marrow suppression', 'vancomycin']"
"['hypotensive episodes', 'fentanyl']"
"['hypotension', 'antihypertensive medications']"
"['hypotension', 'hydralazine']"
"['hypotension', 'metoprolol']"
"['anemia', 'chemo']"
"['elevated gastrin levels', 'ppi']"
"['hypotensive episodes', 'blood pressure medications']"
"['contact dermatitis', 'chlorhexadine']"
"['contact allergy', 'chlorhexidine']"
"['skin rash', 'chlorhexidine']"
"['flush', 'dilaudid']"
"['diaphoresis', 'dilaudid']"
"['blood pressure to drop', 'nitroglycerin']"
"['hypothyroidism', 'amiodarone']"
"['myalgias', 'statins']"
"['acute kidney injury', 'tmp/smx']"
"['acute toxicity', 'lithium']"
"['toxicity', 'lithium']"
"['toxicity', 'lithium']"
"['altered mental status', 'lithium']"
"['toxicity', 'lithium']"
"['hyperchloremic acidosis', 'ns']"
"['toxicity', 'lithium']"
"['kidney injury', 'antibiotic']"
"['altered mental status', 'lithium']"
"['nephropathy', 'contrast']"
"['cardiomyopathy', 'anthracycline']"
"['cardiomyopathy', 'anthracycline']"
"['overdiuresis', 'torsemide']"
"['cardiomyopathy', 'anthracycline']"
"['cardiotoxicity', 'anthracycline']"
"['cardiomyopathy', 'anthracycline']"
"['thrombocytopenia', 'platelets']"
"['thrombocytopenia', 'platelets']"
"['thrombocytopenia', 'chemotherapy']"
"['two transfusion reactions', 'platelets']"
"['transfusion reaction', 'platelet']"
"['pra positive', 'platelet']"
"['transfusion reaction', 'platelets']"
"['transfusion reaction', 'platelets']"
"['lips swelled', 'vanc']"
"['lips swelled', 'levaquin']"
"['hives', 'vanc']"
"['hives', 'levaquin']"
"['red man syndrome', 'vanco']"
"['hypoglycemia', 'nph']"
"['blood pressure and heart rate were low', 'a beta-blocker']"
"['blood pressure and heart rate were low', 'atenolol']"
"['decreased blood flow to your kidney', 'losartan']"
"['decreased blood flow to your kidney', 'valsartan']"
"['hypoglycemia', 'glyburide']"
"['hypoglycemia', 'glyburide']"
"['thrombocytopenia', 'vori']"
"['extrapyrimidal symptoms', 'antipsychotics']"
"['extrapyrimidal symptoms', 'haldol']"
"['extrapyrimidal symptoms', 'seroquel']"
"['somnolent', 'ativan']"
"['sedation', 'benzos']"
"['elevated cks', 'simvastatin']"
"['elevated ck levels', 'simvastatin']"
"['nms', 'seroquel']"
"['extra-pyramidal adverse effect', 'anti-pyschotics']"
"['muscular side effects', 'anti-psychotic medications']"
"['muscular side effects', 'anti-psychotic medications']"
"['muscular side effects', 'anti-psychotic medications']"
"['change in mental status', 'serax']"
"['altered mental status', 'opiates']"
"['unresponsiveness', 'opiates']"
"['long qt', 'haldol']"
"['long qt', 'haldol']"
"['altered mental status', 'depakote']"
"['angioedema', 'ace-i']"
"['thrombocytopenia', 'linezolid']"
"['ataxic gait', 'prograf']"
"['toxicity', 'prograf']"
"['tremors', 'prograf']"
"['pulmonary toxicity', 'amiodarone']"
"['pneumonitis', 'amiodarone']"
"['intracranial hemorrage', 'heparin']"
"['intraperitoneal bleeding from gist tumors', 'anticoagulation']"
"['made the patient feel strage', 'haldol']"
"['made the patient feel strage', 'seroquel']"
"['osteoporosis', 'prednisone']"
"['c. diff', 'abx']"
"['neuropathy', 'vincristine']"
"['fevers', 'platelet']"
"['confusion', 'ativan']"
"['jaundice', 'propofol']"
"['confused', 'steroids']"
"['confused', 'levofloxacin']"
"['atn', 'opiate']"
"['atn', 'tca']"
"['morbilliform rash', 'vancomycin']"
"['anion gap acidosis', 'ethylene glycol']"
"['""urate crystals""', 'ethylene glycol']"
"['profound sedation', 'sedatives']"
"['upper body pruritic rash', 'dopamine']"
"['altered mental status', 'valium']"
"['metabolic acidosis', 'dopamine']"
"['mental status changes', 'detrol']"
"['anticholinergic side effects', 'detrol']"
"['respiratory failure', 'versed']"
"['hypoglycemia', 'fluoxetine']"
"['lower the seizure threshold', 'fluoxetine']"
"['hypoglycemia', 'fluoxetine']"
"['ams', 'narcotics']"
"['delirium', 'opioid medications']"
"['allergic', 'penicillins']"
"['altered mental status', 'pain medications']"
"['delirious', 'pain medications']"
"['hypotension', 'sedating medications']"
"['hypotension', 'propofol']"
"['tachycardiac', 'dopamine']"
"['dark stool', 'iron']"
"['gi bleed', 'aspirin']"
"['esophagitis', 'chemo']"
"['gastrointestinal bleed', 'aspirin']"
"['gi ulceration', 'aspirin']"
"['rash', 'dilaudid']"
"['adult respiratory distress syndrome', 'bactrim']"
"['tachypnea', 'fentanyl']"
"['hallucinations', 'fentanyl']"
"['agitation', 'fentanyl']"
"['rash on both arms and the back', 'dapsone']"
"['neutropenia', 'vinorelbine (navelbine)']"
"['hypertension', 'florinef']"
"['hypertension', 'midodrine']"
"['orthostatic hypotension', 'risperidone']"
"['angioedema', 'acei']"
"['angioedema', 'lisinopril']"
"['angioedema', 'acei']"
"['hypertensive', 'midodrine']"
"['hypertensive', 'florinef']"
"['orthostatic', 'flomax']"
"['orthostatic', 'lisinopril']"
"['angioedema', 'lisinopril']"
"['diahrrea', 'irinotecan']"
"['diahrrea', 'panitumab']"
"['diahrrea', 'chemotherapy']"
"['diahrrea', 'chemotherapy']"
"['intractable diarrhea', 'chemo']"
"['gi toxicity', 'irinotecan']"
"['aluminum toxicity', 'carafate']"
"['diarrhea', 'irinotecan']"
"['gi toxicity', 'irinotecan']"
"['radiation proctitis', 'irinotecan']"
"['diarrhea', 'chemotherapy']"
"['ulceration in your esophagus, stomach and colon', 'chemotherapy']"
"['neuropathy', 'oxaliplatin']"
"['sleepy', 'ativan']"
"['decreased his rr', 'ativan']"
"['decreased rr', 'morphine']"
"['sleepiness', 'morphine']"
"['completely somnolent', 'topomax']"
"['completely somnolent', 'ms-contin']"
"['sleepy for several days', 'ms contin']"
"['sleepy for several days', 'topomax']"
"['low body temperature', 'antipsychotic medications']"
"['poor urine output', 'anticholinergics']"
"['urinary retention', 'anticholinergics']"
"['thrombocytopenia', 'psychiatric medications']"
"['thrombocytopenia', 'fluconazole']"
"['anaphylaxis', 'bactrim']"
"['hypotension', 'bactrim']"
"['tachycardia', 'bactrim']"
"['fever', 'bactrim']"
"['diffuse rash', 'bactrim']"
"['hypotension', 'bactrim']"
"['tachycardia', 'bactrim']"
"['fever', 'bactrim']"
"['anaphylactic-type reaction', 'bactrim']"
"['red man syndrome', 'vanco']"
"['anaphylactic reaction', 'bactrim']"
"['skin became pink all over', 'bactrim']"
"['anaphylaxis', 'bactrim']"
"['altered mental status', 'tylenol with codeine']"
"['angioedema', 'ativan']"
"['myopathy', 'steroid']"
"['myopathy', 'steroid']"
"['myopathy', 'steroid']"
"['myopathy', 'steroid']"
"['pancytopenia', 'methotrexate']"
"['pancytopenia', 'methotrexate']"
"['hypoxia', 'morphine']"
"['pancyopenia', 'methotrexate']"
"['pancyopenia', 'folate']"
"['delerious', 'ativan']"
"['very confused', 'ativan']"
"['swelling of your tongue and neck', 'lisinopril']"
"['neutropenic fever', 'chemotherapy']"
"['neutropenic fever', 'chemotherapy']"
"['tongue and anterior neck swelling', 'lisinopril']"
"['tongue/neck swelling/allergy', 'lisinopril']"
"['aphthous ulcers', 'chemotherapy']"
"['anterior neck swelling', 'glycerin']"
"['liver hematoma', 'heparin']"
"['liver hematoma', 'coumadin']"
"['liver hematoma', 'heparin']"
"['bled', 'blood thinners']"
"['bled', 'blood thinners']"
"['mi', 'epi']"
"['mi', 'epi']"
"['sob', 'kefzol']"
"['sob', 'vanco']"
"['sob', 'cipro']"
"['sob', 'flagyl']"
"['sob', 'antibioitcs']"
"['rash on chest', 'kefzol']"
"['rash on chest', 'vanco']"
"['rash on chest', 'cipro']"
"['rash on chest', 'flagyl']"
"['rash on chest', 'antibioitcs']"
"['hives on neck', 'kefzol']"
"['hives on neck', 'vanco']"
"['hives on neck', 'cipro']"
"['hives on neck', 'flagyl']"
"['hives on neck', 'antibioitcs']"
"['constipating', 'narcotic pain meds']"
"['acutely bradycardic', 'metoprolol']"
"['myopathy', 'steroid']"
"['hematemesis x2', 'prednisone']"
"['gi bleed', 'aspirin']"
"['gi bleed', 'nsaid']"
"['upper gi bleed', 'nsaid']"
"['upper gi bleed', 'prednisone']"
"['upper gi bleed', 'nsaid']"
"['upper gi bleed', 'prednisone']"
"['ugib', 'nsaid']"
"['hypotension', 'ace']"
"['hypotension', 'bb']"
"['make it easier to bleed', 'coumadin']"
"['erosions in your stomach bled', 'coumadin']"
"['periorbital edema', 'vancomycin']"
"['diffuse skin etyhema', 'vancomycin']"
"[""elevated lft's"", 'vancomycin']"
"['eosinophilia', 'vancomycin']"
"['hypotension', 'dilaudid']"
"['hypotensive', 'narcotics']"
"['hypotension', 'pain medication']"
"['myopathy', 'steroid']"
"['myopathy', 'steroid']"
"['myopathy', 'steroid']"
"['constipation', 'narcotic pain medicine']"
"['low blood pressure', 'blood pressure medications']"
"['hypotension', 'antihypertensive regimen']"
"['prolonged ptt', 'heparin']"
"['hypotension', 'bp meds']"
"['humeral fracture', 'opiates']"
"['hypotension', 'opiates']"
"['hypernatremia', 'diuretics']"
"['constipation', 'oxycodone']"
"['constipation', 'percocet']"
"['constipation', 'vicodin']"
"['constipation', 'hydrocodone']"
"['constipation', 'dilaudid']"
"['constipation', 'narcotic pain medications']"
"['nodule', 'lovenox']"
"['tachycardia', 'albuterol']"
"['risk of osteoporosis', 'steroid']"
"['nephrotoxity', 'cyclosporin']"
"['diarrhea', 'lactulose']"
"['brbpr', 'pradaxa']"
"['hematuria', 'pradaxa']"
"['brbpr', 'pradaxa']"
"['lower gi bleeding', 'anticoagulation']"
"['inr was 6.0', 'coumadin']"
"['bleeding', 'coumadin']"
"['atn', 'contrast']"
"['post-atn diuresis', 'fluids']"
"['hypernatremia', 'fluids']"
"['intermittent fevers', 'penicillin']"
"['drug reaction', 'penicillin']"
"['maculo papular rash', 'penicillins']"
"['maculo papular rash', 'zosyn']"
"['rash', 'penicillins']"
"['rash', 'zosyn']"
"['arthralgias', 'lipitor']"
"['complete heart block', 'diltiazem']"
"['epistasis', 'aggrastat']"
"['guaiac positive stools', 'aggrastat']"
"['sedative', 'neurontin']"
"['intoxication', 'benzodiazepine']"
"['fever', 'dilantin']"
"['rash', 'dilantin']"
"['diffuse morbiliform eruption rash', 'dilantin']"
"['rash', 'dilantin']"
"['rash', 'famotidine']"
"['thrombocytopenia', 'heparin']"
"['toxic-metabolic encephalopathy', 'sedative medications']"
"['thrombocytopenia', 'heparin']"
"['thrombocytopenia', 'heparin']"
"['myopathy', 'steroid']"
"['hyperparathyroidism', 'steroid']"
"['thrombocytopenia', 'heparin']"
"['thrombocytopenia', 'heparin']"
"['thrombocytopenia', 'heparin']"
"['subcapsular hepatic bleed', 'anticoagulation']"
"['blood pressure intolerance', 'captopril']"
"['dm', 'steroid']"
"['hypotension', 'nitroglycerine']"
"['constipation', 'narcotics']"
"['diarrhea', 'antibiotics']"
"['diarrhea', 'antibiotics']"
"['acute kidney injury', 'lisinopril']"
"['acute kidney injury', 'ace inhibitor']"
"['fever', 'codeine']"
"['acute interstitial nephritis', 'nafcillin']"
"['loose stools', 'nafcillin']"
"['loose stools', 'nafcillin']"
"['vitamin k deficiency', 'antibiotic']"
"['diarrhea', 'nafcillin']"
"['dehydrated', 'lasix']"
"['hypercarbic respiratory failure', 'benzos']"
"['hypercarbic respiratory failure', 'antipsychotics']"
"['somnolent', 'benzos']"
"['somnolent', 'antipsychotics']"
"['hypernatremia', 'lasix']"
"['hypovolemia hyponatremia', 'lasix']"
"['drug sensitivity reaction', 'piperacillin']"
"['drug sensitivity reaction', 'tazobactam']"
"['rash', 'piperacillin']"
"['rash', 'tazobactam']"
"['rash', 'antibiotics']"
"['creatinine increase', 'zosyn']"
"['creatinine increase', 'zosyn']"
"['chest wall hematoma', 'anticoagulation']"
"['chest wall hematoma', 'coumadin']"
"['chest wall hematoma', 'heparin']"
"['fingersticks were very elevated', 'steroids']"
"['nervous', 'ciprofloxacin']"
"['nauseous', 'ciprofloxacin']"
"['diarrhea', 'ciprofloxacin']"
"['emesis', 'ciprofloxacin']"
"['withdrawal', 'narcotics']"
"['acute delirium', 'ciprofloxacin']"
"['seizures', 'ciprofloxacin']"
"['acute psychosis', 'ciprofloxacin']"
"['acute delirium', 'ciprofloxacin']"
"['withdrawal', 'narcotics']"
"['acute delirium', 'narcotics']"
"['persistent agitation', 'narcotic']"
"['withdrawal', 'narcotic']"
"['leukosuppression', 'linezolid']"
"['thrombocytopenic', 'lovenox']"
"['fulminant liver failure', 'zithromax']"
"['lactic acid', 'metformin']"
"['sugars are elevated', 'steroids']"
"['type b lactic acidosis', 'metformin']"
"['leukocytosis', 'dexamethasone']"
"['cough', 'ace inhibitor']"
"['diarrhea', 'levofloxacin']"
"['diarrhea', 'clindamycin']"
"['colitis', 'ciprofloxacin']"
"['colitis', 'levofloxacin']"
"['diarrhea', 'antibiotic']"
"['dystonic reaction', 'haldol']"
"['oversedated', 'ativan']"
"['oversedated', 'ativan']"
"['diahrrea', 'opoid']"
"['anxiety', 'opoid']"
"['withdrawl', 'opoid']"
"['withdrawal', 'narcotic']"
"['withdrawal', 'narcotic']"
"['withdrawal', 'benzo']"
"['withdrawal', 'narcotics']"
"['hypotension', 'diuretics']"
"['hypotension', 'lasix']"
"['hypotension', 'acei']"
"['hypotension', 'bblocker']"
"['supratherapeutic inr', 'warfarin']"
"['hypotension', 'amlodipine']"
"['hypotension', 'lisinopril']"
"['low urine output', 'amlodipine']"
"['low urine output', 'lisinopril']"
